A0;< 20
FB6A;< 6A4
FB6B;< 6A4
FB6C;< 6A4
FB6D;< 6A4
FB6E;< 6A6
FB6F;< 6A6
FB70;< 6A6
FB71;< 6A6
FB72;< 684
FB73;< 684
FB74;< 684
FB75;< 684
FB76;< 683
FB77;< 683
FB78;< 683
FB79;< 683
FB7A;< 686
FB7B;< 686
FB7C;< 686
FB7D;< 686
FB7E;< 687
FB7F;< 687
FB80;< 687
FB81;< 687
FB82;< 68D
FB83;< 68D
FB84;< 68C
FB85;< 68C
FB86;< 68E
FB87;< 68E
FB88;< 688
FB89;< 688
FB8A;< 698
FB8B;< 698
FB8C;< 691
FB8D;< 691
FB8E;< 6A9
FB8F;< 6A9
FB90;< 6A9
FB91;< 6A9
FB92;< 6AF
FB93;< 6AF
FB94;< 6AF
FB95;< 6AF
FB96;< 6B3
FB97;< 6B3
FB98;< 6B3
FB99;< 6B3
FB9A;< 6B1
FB9B;< 6B1
FB9C;< 6B1
FB9D;< 6B1
FB9E;< 6BA
FB9F;< 6BA
FBA0;< 6BB
FBA1;< 6BB
FBA2;< 6BB
FBA3;< 6BB
FBA4;< 6C0
FBA5;< 6C0
FBA6;< 6C1
FBA7;< 6C1
FBA8;< 6C1
FBA9;< 6C1
FBAA;< 6BE
FBAB;< 6BE
FBAC;< 6BE
FBAD;< 6BE
FBAE;< 6D2
FBAF;< 6D2
FBB0;< 6D3
FBB1;< 6D3
FBD3;< 6AD
FBD4;< 6AD
FBD5;< 6AD
FBD6;< 6AD
FBD7;< 6C7
FBD8;< 6C7
FBD9;< 6C6
FBDA;< 6C6
FBDB;< 6C8
FBDC;< 6C8
FBDD;< 677
FBDE;< 6CB
FBDF;< 6CB
FBE0;< 6C5
FBE1;< 6C5
FBE2;< 6C9
FBE3;< 6C9
FBE4;< 6D0
FBE5;< 6D0
FBE6;< 6D0
FBE7;< 6D0
FBE8;< 649
FBE9;< 649
FBEA;< 626 627
FBEB;< 626 627
FBEC;< 626 6D5
FBED;< 626 6D5
FBEE;< 626 648
FBEF;< 626 648
FBF0;< 626 6C7
FBF1;< 626 6C7
FBF2;< 626 6C6
FBF3;< 626 6C6
FBF4;< 626 6C8
FBF5;< 626 6C8
FBF6;< 626 6D0
FBF7;< 626 6D0
FBF8;< 626 6D0
FBF9;< 626 649
FBFA;< 626 649
FBFB;< 626 649
FBFC;< 6CC
FBFD;< 6CC
FBFE;< 6CC
FBFF;< 6CC
FC00;< 626 62C
FC01;< 626 62D
FC02;< 626 645
FC03;< 626 649
FC04;< 626 64A
FC05;< 628 62C
FC06;< 628 62D
FC07;< 628 62E
FC08;< 628 645
FC09;< 628 649
FC0A;< 628 64A
FC0B;< 62A 62C
FC0C;< 62A 62D
FC0D;< 62A 62E
FC0E;< 62A 645
FC0F;< 62A 649
FC10;< 62A 64A
FC11;< 62B 62C
FC12;< 62B 645
FC13;< 62B 649
FC14;< 62B 64A
FC15;< 62C 62D
FC16;< 62C 645
FC17;< 62D 62C
FC18;< 62D 645
FC19;< 62E 62C
FC1A;< 62E 62D
FC1B;< 62E 645
FC1C;< 633 62C
FC1D;< 633 62D
FC1E;< 633 62E
FC1F;< 633 645
FC20;< 635 62D
FC21;< 635 645
FC22;< 636 62C
FC23;< 636 62D
FC24;< 636 62E
FC25;< 636 645
FC26;< 637 62D
FC27;< 637 645
FC28;< 638 645
FC29;< 639 62C
FC2A;< 639 645
FC2B;< 63A 62C
FC2C;< 63A 645
FC2D;< 641 62C
FC2E;< 641 62D
FC2F;< 641 62E
FC30;< 641 645
FC31;< 641 649
FC32;< 641 64A
FC33;< 642 62D
FC34;< 642 645
FC35;< 642 649
FC36;< 642 64A
FC37;< 643 627
FC38;< 643 62C
FC39;< 643 62D
FC3A;< 643 62E
FC3B;< 643 644
FC3C;< 643 645
FC3D;< 643 649
FC3E;< 643 64A
FC3F;< 644 62C
FC40;< 644 62D
FC41;< 644 62E
FC42;< 644 645
FC43;< 644 649
FC44;< 644 64A
FC45;< 645 62C
FC46;< 645 62D
FC47;< 645 62E
FC48;< 645 645
FC49;< 645 649
FC4A;< 645 64A
FC4B;< 646 62C
FC4C;< 646 62D
FC4D;< 646 62E
FC4E;< 646 645
FC4F;< 646 649
FC50;< 646 64A
FC51;< 647 62C
FC52;< 647 645
FC53;< 647 649
FC54;< 647 64A
FC55;< 64A 62C
FC56;< 64A 62D
FC57;< 64A 62E
FC58;< 64A 645
FC59;< 64A 649
FC5A;< 64A 64A
FC5B;< 630 670
FC5C;< 631 670
FC5D;< 649 670
FC5E;< 20 64C 651
FC5F;< 20 64D 651
FC60;< 20 64E 651
FC61;< 20 64F 651
FC62;< 20 650 651
FC63;< 20 651 670
FC64;< 626 631
FC65;< 626 632
FC66;< 626 645
FC67;< 626 646
FC68;< 626 649
FC69;< 626 64A
FC6A;< 628 631
FC6B;< 628 632
FC6C;< 628 645
FC6D;< 628 646
FC6E;< 628 649
FC6F;< 628 64A
FC70;< 62A 631
FC71;< 62A 632
FC72;< 62A 645
FC73;< 62A 646
FC74;< 62A 649
FC75;< 62A 64A
FC76;< 62B 631
FC77;< 62B 632
FC78;< 62B 645
FC79;< 62B 646
FC7A;< 62B 649
FC7B;< 62B 64A
FC7C;< 641 649
FC7D;< 641 64A
FC7E;< 642 649
FC7F;< 642 64A
FC80;< 643 627
FC81;< 643 644
FC82;< 643 645
FC83;< 643 649
FC84;< 643 64A
FC85;< 644 645
FC86;< 644 649
FC87;< 644 64A
FC88;< 645 627
FC89;< 645 645
FC8A;< 646 631
FC8B;< 646 632
FC8C;< 646 645
FC8D;< 646 646
FC8E;< 646 649
FC8F;< 646 64A
FC90;< 649 670
FC91;< 64A 631
FC92;< 64A 632
FC93;< 64A 645
FC94;< 64A 646
FC95;< 64A 649
FC96;< 64A 64A
FC97;< 626 62C
FC98;< 626 62D
FC99;< 626 62E
FC9A;< 626 645
FC9B;< 626 647
FC9C;< 628 62C
FC9D;< 628 62D
FC9E;< 628 62E
FC9F;< 628 645
FCA0;< 628 647
FCA1;< 62A 62C
FCA2;< 62A 62D
FCA3;< 62A 62E
FCA4;< 62A 645
FCA5;< 62A 647
FCA6;< 62B 645
FCA7;< 62C 62D
FCA8;< 62C 645
FCA9;< 62D 62C
FCAA;< 62D 645
FCAB;< 62E 62C
FCAC;< 62E 645
FCAD;< 633 62C
FCAE;< 633 62D
FCAF;< 633 62E
FCB0;< 633 645
FCB1;< 635 62D
FCB2;< 635 62E
FCB3;< 635 645
FCB4;< 636 62C
FCB5;< 636 62D
FCB6;< 636 62E
FCB7;< 636 645
FCB8;< 637 62D
FCB9;< 638 645
FCBA;< 639 62C
FCBB;< 639 645
FCBC;< 63A 62C
FCBD;< 63A 645
FCBE;< 641 62C
FCBF;< 641 62D
FCC0;< 641 62E
FCC1;< 641 645
FCC2;< 642 62D
FCC3;< 642 645
FCC4;< 643 62C
FCC5;< 643 62D
FCC6;< 643 62E
FCC7;< 643 644
FCC8;< 643 645
FCC9;< 644 62C
FCCA;< 644 62D
FCCB;< 644 62E
FCCC;< 644 645
FCCD;< 644 647
FCCE;< 645 62C
FCCF;< 645 62D
FCD0;< 645 62E
FCD1;< 645 645
FCD2;< 646 62C
FCD3;< 646 62D
FCD4;< 646 62E
FCD5;< 646 645
FCD6;< 646 647
FCD7;< 647 62C
FCD8;< 647 645
FCD9;< 647 670
FCDA;< 64A 62C
FCDB;< 64A 62D
FCDC;< 64A 62E
FCDD;< 64A 645
FCDE;< 64A 647
FCDF;< 626 645
FCE0;< 626 647
FCE1;< 628 645
FCE2;< 628 647
FCE3;< 62A 645
FCE4;< 62A 647
FCE5;< 62B 645
FCE6;< 62B 647
FCE7;< 633 645
FCE8;< 633 647
FCE9;< 634 645
FCEA;< 634 647
FCEB;< 643 644
FCEC;< 643 645
FCED;< 644 645
FCEE;< 646 645
FCEF;< 646 647
FCF0;< 64A 645
FCF1;< 64A 647
FCF2;< 640 64E 651
FCF3;< 640 64F 651
FCF4;< 640 650 651
FCF5;< 637 649
FCF6;< 637 64A
FCF7;< 639 649
FCF8;< 639 64A
FCF9;< 63A 649
FCFA;< 63A 64A
FCFB;< 633 649
FCFC;< 633 64A
FCFD;< 634 649
FCFE;< 634 64A
FCFF;< 62D 649
FD00;< 62D 64A
FD01;< 62C 649
FD02;< 62C 64A
FD03;< 62E 649
FD04;< 62E 64A
FD05;< 635 649
FD06;< 635 64A
FD07;< 636 649
FD08;< 636 64A
FD09;< 634 62C
FD0A;< 634 62D
FD0B;< 634 62E
FD0C;< 634 645
FD0D;< 634 631
FD0E;< 633 631
FD0F;< 635 631
FD10;< 636 631
FD11;< 637 649
FD12;< 637 64A
FD13;< 639 649
FD14;< 639 64A
FD15;< 63A 649
FD16;< 63A 64A
FD17;< 633 649
FD18;< 633 64A
FD19;< 634 649
FD1A;< 634 64A
FD1B;< 62D 649
FD1C;< 62D 64A
FD1D;< 62C 649
FD1E;< 62C 64A
FD1F;< 62E 649
FD20;< 62E 64A
FD21;< 635 649
FD22;< 635 64A
FD23;< 636 649
FD24;< 636 64A
FD25;< 634 62C
FD26;< 634 62D
FD27;< 634 62E
FD28;< 634 645
FD29;< 634 631
FD2A;< 633 631
FD2B;< 635 631
FD2C;< 636 631
FD2D;< 634 62C
FD2E;< 634 62D
FD2F;< 634 62E
FD30;< 634 645
FD31;< 633 647
FD32;< 634 647
FD33;< 637 645
FD34;< 633 62C
FD35;< 633 62D
FD36;< 633 62E
FD37;< 634 62C
FD38;< 634 62D
FD39;< 634 62E
FD3A;< 637 645
FD3B;< 638 645
FD3C;< 627 64B
FD3D;< 627 64B
FD50;< 62A 62C 645
FD51;< 62A 62D 62C
FD52;< 62A 62D 62C
FD53;< 62A 62D 645
FD54;< 62A 62E 645
FD55;< 62A 645 62C
FD56;< 62A 645 62D
FD57;< 62A 645 62E
FD58;< 62C 645 62D
FD59;< 62C 645 62D
FD5A;< 62D 645 64A
FD5B;< 62D 645 649
FD5C;< 633 62D 62C
FD5D;< 633 62C 62D
FD5E;< 633 62C 649
FD5F;< 633 645 62D
FD60;< 633 645 62D
FD61;< 633 645 62C
FD62;< 633 645 645
FD63;< 633 645 645
FD64;< 635 62D 62D
FD65;< 635 62D 62D
FD66;< 635 645 645
FD67;< 634 62D 645
FD68;< 634 62D 645
FD69;< 634 62C 64A
FD6A;< 634 645 62E
FD6B;< 634 645 62E
FD6C;< 634 645 645
FD6D;< 634 645 645
FD6E;< 636 62D 649
FD6F;< 636 62E 645
FD70;< 636 62E 645
FD71;< 637 645 62D
FD72;< 637 645 62D
FD73;< 637 645 645
FD74;< 637 645 64A
FD75;< 639 62C 645
FD76;< 639 645 645
FD77;< 639 645 645
FD78;< 639 645 649
FD79;< 63A 645 645
FD7A;< 63A 645 64A
FD7B;< 63A 645 649
FD7C;< 641 62E 645
FD7D;< 641 62E 645
FD7E;< 642 645 62D
FD7F;< 642 645 645
FD80;< 644 62D 645
FD81;< 644 62D 64A
FD82;< 644 62D 649
FD83;< 644 62C 62C
FD84;< 644 62C 62C
FD85;< 644 62E 645
FD86;< 644 62E 645
FD87;< 644 645 62D
FD88;< 644 645 62D
FD89;< 645 62D 62C
FD8A;< 645 62D 645
FD8B;< 645 62D 64A
FD8C;< 645 62C 62D
FD8D;< 645 62C 645
FD8E;< 645 62E 62C
FD8F;< 645 62E 645
FD92;< 645 62C 62E
FD93;< 647 645 62C
FD94;< 647 645 645
FD95;< 646 62D 645
FD96;< 646 62D 649
FD97;< 646 62C 645
FD98;< 646 62C 645
FD99;< 646 62C 649
FD9A;< 646 645 64A
FD9B;< 646 645 649
FD9C;< 64A 645 645
FD9D;< 64A 645 645
FD9E;< 628 62E 64A
FD9F;< 62A 62C 64A
FDA0;< 62A 62C 649
FDA1;< 62A 62E 64A
FDA2;< 62A 62E 649
FDA3;< 62A 645 64A
FDA4;< 62A 645 649
FDA5;< 62C 645 64A
FDA6;< 62C 62D 649
FDA7;< 62C 645 649
FDA8;< 633 62E 649
FDA9;< 635 62D 64A
FDAA;< 634 62D 64A
FDAB;< 636 62D 64A
FDAC;< 644 62C 64A
FDAD;< 644 645 64A
FDAE;< 64A 62D 64A
FDAF;< 64A 62C 64A
FDB0;< 64A 645 64A
FDB1;< 645 645 64A
FDB2;< 642 645 64A
FDB3;< 646 62D 64A
FDB4;< 642 645 62D
FDB5;< 644 62D 645
FDB6;< 639 645 64A
FDB7;< 643 645 64A
FDB8;< 646 62C 62D
FDB9;< 645 62E 64A
FDBA;< 644 62C 645
FDBB;< 643 645 645
FDBC;< 644 62C 645
FDBD;< 646 62C 62D
FDBE;< 62C 62D 64A
FDBF;< 62D 62C 64A
FDC0;< 645 62C 64A
FDC1;< 641 645 64A
FDC2;< 628 62D 64A
FDC3;< 643 645 645
FDC4;< 639 62C 645
FDC5;< 635 645 645
FDC6;< 633 62E 64A
FDC7;< 646 62C 64A
FDF0;< 635 644 6D2
FDF1;< 642 644 6D2
FDF2;< 627 644 644 647
FDF3;< 627 643 628 631
FDF4;< 645 62D 645 62F
FDF5;< 635 644 639 645
FDF6;< 631 633 648 644
FDF7;< 639 644 64A 647
FDF8;< 648 633 644 645
FDF9;< 635 644 649
FDFA;< 635 644 649 20 627 644 644 647 20 639 644 64A 647 20 648 633 644 645
FDFB;< 62C 644 20 62C 644 627 644 647
FDFC;< 631 6CC 627 644
FE10;< 2C
FE11;< 3001
FE12;< 3002
FE13;< 3A
FE14;< 3B
FE15;< 21
FE16;< 3F
FE17;< 3016
FE18;< 3017
FE19;< 2026
FE30;< 2025
FE31;< 2014
FE32;< 2013
FE33;< 5F
FE34;< 5F
FE35;< 28
FE36;< 29
FE37;< 7B
FE38;< 7D
FE39;< 3014
FE3A;< 3015
FE3B;< 3010
FE3C;< 3011
FE3D;< 300A
FE3E;< 300B
FE3F;< 3008
FE40;< 3009
FE41;< 300C
FE42;< 300D
FE43;< 300E
FE44;< 300F
FE47;< 5B
FE48;< 5D
FE49;< 203E
FE4A;< 203E
FE4B;< 203E
FE4C;< 203E
FE4D;< 5F
FE4E;< 5F
FE4F;< 5F
FE50;< 2C
FE51;< 3001
FE52;< 2E
FE54;< 3B
FE55;< 3A
FE56;< 3F
FE57;< 21
FE58;< 2014
FE59;< 28
FE5A;< 29
FE5B;< 7B
FE5C;< 7D
FE5D;< 3014
FE5E;< 3015
FE5F;< 23
FE60;< 26
FE61;< 2A
FE62;< 2B
FE63;< 2D
FE64;< 3C
FE65;< 3E
FE66;< 3D
FE68;< 5C
FE69;< 24
FE6A;< 25
FE6B;< 40
FE70;< 20 64B
FE71;< 640 64B
FE72;< 20 64C
FE74;< 20 64D
FE76;< 20 64E
FE77;< 640 64E
FE78;< 20 64F
FE79;< 640 64F
FE7A;< 20 650
FE7B;< 640 650
FE7C;< 20 651
FE7D;< 640 651
FE7E;< 20 652
FE7F;< 640 652
FE80;< 621
FE81;< 622
FE82;< 622
FE83;< 623
FE84;< 623
FE85;< 624
FE86;< 624
FE87;< 625
FE88;< 625
FE89;< 626
FE8A;< 626
FE8B;< 626
FE8C;< 626
FE8D;< 627
FE8E;< 627
FE8F;< 628
FE90;< 628
FE91;< 628
FE92;< 628
FE93;< 629
FE94;< 629
FE95;< 62A
FE96;< 62A
FE97;< 62A
FE98;< 62A
FE99;< 62B
FE9A;< 62B
FE9B;< 62B
FE9C;< 62B
FE9D;< 62C
FE9E;< 62C
FE9F;< 62C
FEA0;< 62C
FEA1;< 62D
FEA2;< 62D
FEA3;< 62D
FEA4;< 62D
FEA5;< 62E
FEA6;< 62E
FEA7;< 62E
FEA8;< 62E
FEA9;< 62F
FEAA;< 62F
FEAB;< 630
FEAC;< 630
FEAD;< 631
FEAE;< 631
FEAF;< 632
FEB0;< 632
FEB1;< 633
FEB2;< 633
FEB3;< 633
FEB4;< 633
FEB5;< 634
FEB6;< 634
FEB7;< 634
FEB8;< 634
FEB9;< 635
FEBA;< 635
FEBB;< 635
FEBC;< 635
FEBD;< 636
FEBE;< 636
FEBF;< 636
FEC0;< 636
FEC1;< 637
FEC2;< 637
FEC3;< 637
FEC4;< 637
FEC5;< 638
FEC6;< 638
FEC7;< 638
FEC8;< 638
FEC9;< 639
FECA;< 639
FECB;< 639
FECC;< 639
FECD;< 63A
FECE;< 63A
FECF;< 63A
FED0;< 63A
FED1;< 641
FED2;< 641
FED3;< 641
FED4;< 641
FED5;< 642
FED6;< 642
FED7;< 642
FED8;< 642
FED9;< 643
FEDA;< 643
FEDB;< 643
FEDC;< 643
FEDD;< 644
FEDE;< 644
FEDF;< 644
FEE0;< 644
FEE1;< 645
FEE2;< 645
FEE3;< 645
FEE4;< 645
FEE5;< 646
FEE6;< 646
FEE7;< 646
FEE8;< 646
FEE9;< 647
FEEA;< 647
FEEB;< 647
FEEC;< 647
FEED;< 648
FEEE;< 648
FEEF;< 649
FEF0;< 649
FEF1;< 64A
FEF2;< 64A
FEF3;< 64A
FEF4;< 64A
FEF5;< 644 622
FEF6;< 644 622
FEF7;< 644 623
FEF8;< 644 623
FEF9;< 644 625
FEFA;< 644 625
FEFB;< 644 627
FEFC;< 644 627
FF01;< 21
FF02;< 22
FF03;< 23
FF04;< 24
FF05;< 25
FF06;< 26
FF07;< 27
FF08;< 28
FF09;< 29
FF0A;< 2A
FF0B;< 2B
FF0C;< 2C
FF0D;< 2D
FF0E;< 2E
FF0F;< 2F
FF10;< 30
FF11;< 31
FF12;< 32
FF13;< 33
FF14;< 34
FF15;< 35
FF16;< 36
FF17;< 37
FF18;< 38
FF19;< 39
FF1A;< 3A
FF1B;< 3B
FF1C;< 3C
FF1D;< 3D
FF1E;< 3E
FF1F;< 3F
FF20;< 40
FF21;< 41
FF22;< 42
FF23;< 43
FF24;< 44
FF25;< 45
FF26;< 46
FF27;< 47
FF28;< 48
FF29;< 49
FF2A;< 4A
FF2B;< 4B
FF2C;< 4C
FF2D;< 4D
FF2E;< 4E
FF2F;< 4F
FF30;< 50
FF31;< 51
FF32;< 52
FF33;< 53
FF34;< 54
FF35;< 55
FF36;< 56
FF37;< 57
FF38;< 58
FF39;< 59
FF3A;< 5A
FF3B;< 5B
FF3C;< 5C
FF3D;< 5D
FF3E;< 5E
FF3F;< 5F
FF40;< 60
FF41;< 61
FF42;< 62
FF43;< 63
FF44;< 64
FF45;< 65
FF46;< 66
FF47;< 67
FF48;< 68
FF49;< 69
FF4A;< 6A
FF4B;< 6B
FF4C;< 6C
FF4D;< 6D
FF4E;< 6E
FF4F;< 6F
FF50;< 70
FF51;< 71
FF52;< 72
FF53;< 73
FF54;< 74
FF55;< 75
FF56;< 76
FF57;< 77
FF58;< 78
FF59;< 79
FF5A;< 7A
FF5B;< 7B
FF5C;< 7C
FF5D;< 7D
FF5E;< 7E
FF5F;< 2985
FF60;< 2986
FF61;< 3002
FF62;< 300C
FF63;< 300D
FF64;< 3001
FF65;< 30FB
FF66;< 30F2
FF67;< 30A1
FF68;< 30A3
FF69;< 30A5
FF6A;< 30A7
FF6B;< 30A9
FF6C;< 30E3
FF6D;< 30E5
FF6E;< 30E7
FF6F;< 30C3
FF70;< 30FC
FF71;< 30A2
FF72;< 30A4
FF73;< 30A6
FF74;< 30A8
FF75;< 30AA
FF76;< 30AB
FF77;< 30AD
FF78;< 30AF
FF79;< 30B1
FF7A;< 30B3
FF7B;< 30B5
FF7C;< 30B7
FF7D;< 30B9
FF7E;< 30BB
FF7F;< 30BD
FF80;< 30BF
FF81;< 30C1
FF82;< 30C4
FF83;< 30C6
FF84;< 30C8
FF85;< 30CA
FF86;< 30CB
FF87;< 30CC
FF88;< 30CD
FF89;< 30CE
FF8A;< 30CF
FF8B;< 30D2
FF8C;< 30D5
FF8D;< 30D8
FF8E;< 30DB
FF8F;< 30DE
FF90;< 30DF
FF91;< 30E0
FF92;< 30E1
FF93;< 30E2
FF94;< 30E4
FF95;< 30E6
FF96;< 30E8
FF97;< 30E9
FF98;< 30EA
FF99;< 30EB
FF9A;< 30EC
FF9B;< 30ED
FF9C;< 30EF
FF9D;< 30F3
FF9E;< 3099
FF9F;< 309A
FFA0;< 3164
FFA1;< 3131
FFA2;< 3132
FFA3;< 3133
FFA4;< 3134
FFA5;< 3135
FFA6;< 3136
FFA7;< 3137
FFA8;< 3138
FFA9;< 3139
FFAA;< 313A
FFAB;< 313B
FFAC;< 313C
FFAD;< 313D
FFAE;< 313E
FFAF;< 313F
FFB0;< 3140
FFB1;< 3141
FFB2;< 3142
FFB3;< 3143
FFB4;< 3144
FFB5;< 3145
FFB6;< 3146
FFB7;< 3147
FFB8;< 3148
FFB9;< 3149
FFBA;< 314A
FFBB;< 314B
FFBC;< 314C
FFBD;< 314D
FFBE;< 314E
FFC2;< 314F
FFC3;< 3150
FFC4;< 3151
FFC5;< 3152
FFC6;< 3153
FFC7;< 3154
FFCA;< 3155
FFCB;< 3156
FFCC;< 3157
FFCD;< 3158
FFCE;< 3159
FFCF;< 315A
FFD2;< 315B
FFD3;< 315C
FFD4;< 315D
FFD5;< 315E
FFD6;< 315F
FFD7;< 3160
FFDA;< 3161
FFDB;< 3162
FFDC;< 3163
FFE0;< A2
FFE1;< A3
FFE2;< AC
FFE3;< AF
FFE4;< A6
FFE5;< A5
FFE6;< 20A9
FFE8;< 2502
FFE9;< 2190
FFEA;< 2191
FFEB;< 2192
FFEC;< 2193
FFED;< 25A0
FFEE;< 25CB
1109A;11099 110BA
1109C;1109B 110BA
110AB;110A5 110BA
1112E;11131 11127
1112F;11132 11127
1134B;11347 1133E
1134C;11347 11357
114BB;114B9 114BA
114BC;114B9 114B0
114BE;114B9 114BD
115BA;115B8 115AF
115BB;115B9 115AF
11938;11935 11930
1D15E;1D157 1D165
1D15F;1D158 1D165
1D160;1D15F 1D16E
1D161;1D15F 1D16F
1D162;1D15F 1D170
1D163;1D15F 1D171
1D164;1D15F 1D172
1D1BB;1D1B9 1D165
1D1BC;1D1BA 1D165
1D1BD;1D1BB 1D16E
1D1BE;1D1BC 1D16E
1D1BF;1D1BB 1D16F
1D1C0;1D1BC 1D16F
1D400;< 41
1D401;< 42
1D402;< 43
1D403;< 44
1D404;< 45
1D405;< 46
1D406;< 47
1D407;< 48
1D408;< 49
1D409;< 4A
1D40A;< 4B
1D40B;< 4C
1D40C;< 4D
1D40D;< 4E
1D40E;< 4F
1D40F;< 50
1D410;< 51
1D411;< 52
1D412;< 53
1D413;< 54
1D414;< 55
1D415;< 56
1D416;< 57
1D417;< 58
1D418;< 59
1D419;< 5A
1D41A;< 61
1D41B;< 62
1D41C;< 63
1D41D;< 64
1D41E;< 65
1D41F;< 66
1D420;< 67
1D421;< 68
1D422;< 69
1D423;< 6A
1D424;< 6B
1D425;< 6C
1D426;< 6D
1D427;< 6E
1D428;< 6F
1D429;< 70
1D42A;< 71
1D42B;< 72
1D42C;< 73
1D42D;< 74
1D42E;< 75
1D42F;< 76
1D430;< 77
1D431;< 78
1D432;< 79
1D433;< 7A
1D434;< 41
1D435;< 42
1D436;< 43
1D437;< 44
1D438;< 45
1D439;< 46
1D43A;< 47
1D43B;< 48
1D43C;< 49
1D43D;< 4A
1D43E;< 4B
1D43F;< 4C
1D440;< 4D
1D441;< 4E
1D442;< 4F
1D443;< 50
1D444;< 51
1D445;< 52
1D446;< 53
1D447;< 54
1D448;< 55
1D449;< 56
1D44A;< 57
1D44B;< 58
1D44C;< 59
1D44D;< 5A
1D44E;< 61
1D44F;< 62
1D450;< 63
1D451;< 64
1D452;< 65
1D453;< 66
1D454;< 67
1D456;< 69
1D457;< 6A
1D458;< 6B
1D459;< 6C
1D45A;< 6D
1D45B;< 6E
1D45C;< 6F
1D45D;< 70
1D45E;< 71
1D45F;< 72
1D460;< 73
1D461;< 74
1D462;< 75
1D463;< 76
1D464;< 77
1D465;< 78
1D466;< 79
1D467;< 7A
1D468;< 41
1D469;< 42
1D46A;< 43
1D46B;< 44
1D46C;< 45
1D46D;< 46
1D46E;< 47
1D46F;< 48
1D470;< 49
1D471;< 4A
1D472;< 4B
1D473;< 4C
1D474;< 4D
1D475;< 4E
1D476;< 4F
1D477;< 50
1D478;< 51
1D479;< 52
1D47A;< 53
1D47B;< 54
1D47C;< 55
1D47D;< 56
1D47E;< 57
1D47F;< 58
1D480;< 59
1D481;< 5A
1D482;< 61
1D483;< 62
1D484;< 63
1D485;< 64
1D486;< 65
1D487;< 66
1D488;< 67
1D489;< 68
1D48A;< 69
1D48B;< 6A
1D48C;< 6B
1D48D;< 6C
1D48E;< 6D
1D48F;< 6E
1D490;< 6F
1D491;< 70
1D492;< 71
1D493;< 72
1D494;< 73
1D495;< 74
1D496;< 75
1D497;< 76
1D498;< 77
1D499;< 78
1D49A;< 79
1D49B;< 7A
1D49C;< 41
1D49E;< 43
1D49F;< 44
1D4A2;< 47
1D4A5;< 4A
1D4A6;< 4B
1D4A9;< 4E
1D4AA;< 4F
1D4AB;< 50
1D4AC;< 51
1D4AE;< 53
1D4AF;< 54
1D4B0;< 55
1D4B1;< 56
1D4B2;< 57
1D4B3;< 58
1D4B4;< 59
1D4B5;< 5A
1D4B6;< 61
1D4B7;< 62
1D4B8;< 63
1D4B9;< 64
1D4BB;< 66
1D4BD;< 68
1D4BE;< 69
1D4BF;< 6A
1D4C0;< 6B
1D4C1;< 6C
1D4C2;< 6D
1D4C3;< 6E
1D4C5;< 70
1D4C6;< 71
1D4C7;< 72
1D4C8;< 73
1D4C9;< 74
1D4CA;< 75
1D4CB;< 76
1D4CC;< 77
1D4CD;< 78
1D4CE;< 79
1D4CF;< 7A
1D4D0;< 41
1D4D1;< 42
1D4D2;< 43
1D4D3;< 44
1D4D4;< 45
1D4D5;< 46
1D4D6;< 47
1D4D7;< 48
1D4D8;< 49
1D4D9;< 4A
1D4DA;< 4B
1D4DB;< 4C
1D4DC;< 4D
1D4DD;< 4E
1D4DE;< 4F
1D4DF;< 50
1D4E0;< 51
1D4E1;< 52
1D4E2;< 53
1D4E3;< 54
1D4E4;< 55
1D4E5;< 56
1D4E6;< 57
1D4E7;< 58
1D4E8;< 59
1D4E9;< 5A
1D4EA;< 61
1D4EB;< 62
1D4EC;< 63
1D4ED;< 64
1D4EE;< 65
1D4EF;< 66
1D4F0;< 67
1D4F1;< 68
1D4F2;< 69
1D4F3;< 6A
1D4F4;< 6B
1D4F5;< 6C
1D4F6;< 6D
1D4F7;< 6E
1D4F8;< 6F
1D4F9;< 70
1D4FA;< 71
1D4FB;< 72
1D4FC;< 73
1D4FD;< 74
1D4FE;< 75
1D4FF;< 76
1D500;< 77
1D501;< 78
1D502;< 79
1D503;< 7A
1D504;< 41
1D505;< 42
1D507;< 44
1D508;< 45
1D509;< 46
1D50A;< 47
1D50D;< 4A
1D50E;< 4B
1D50F;< 4C
1D510;< 4D
1D511;< 4E
1D512;< 4F
1D513;< 50
1D514;< 51
1D516;< 53
1D517;< 54
1D518;< 55
1D519;< 56
1D51A;< 57
1D51B;< 58
1D51C;< 59
1D51E;< 61
1D51F;< 62
1D520;< 63
1D521;< 64
1D522;< 65
1D523;< 66
1D524;< 67
1D525;< 68
1D526;< 69
1D527;< 6A
1D528;< 6B
1D529;< 6C
1D52A;< 6D
1D52B;< 6E
1D52C;< 6F
1D52D;< 70
1D52E;< 71
1D52F;< 72
1D530;< 73
1D531;< 74
1D532;< 75
1D533;< 76
1D534;< 77
1D535;< 78
1D536;< 79
1D537;< 7A
1D538;< 41
1D539;< 42
1D53B;< 44
1D53C;< 45
1D53D;< 46
1D53E;< 47
1D540;< 49
1D541;< 4A
1D542;< 4B
1D543;< 4C
1D544;< 4D
1D546;< 4F
1D54A;< 53
1D54B;< 54
1D54C;< 55
1D54D;< 56
1D54E;< 57
1D54F;< 58
1D550;< 59
1D552;< 61
1D553;< 62
1D554;< 63
1D555;< 64
1D556;< 65
1D557;< 66
